timestamp,agent.name,rule.description,rule.level,rule.id
"May 16, 2026 @ 15:31:14.342",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:30:55.424",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:30:55.424",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:30:25.399",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:30:23.397",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:30:23.397",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:29:27.365",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:29:27.365",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:29:27.365",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:28:25.330",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:28:25.330",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:28:25.330",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:28:25.330",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:28:25.330",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:28:25.330",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:27:59.315",wazuh-server,Command not allowed.,5,5406
"May 16, 2026 @ 15:27:45.306",wazuh-server,Command not allowed.,5,5406
"May 16, 2026 @ 15:26:43.268",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:26:43.268",wazuh-server,sshd: authentication success.,3,5715
"May 16, 2026 @ 15:26:23.669",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:26:23.669",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 15:26:23.625",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 15:20:19.439",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:20:17.442",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 15:20:17.437",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:20:17.436",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 15:20:00.987",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:19:56.984",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:19:56.983",wazuh-server,sshd: authentication success.,3,5715
"May 16, 2026 @ 15:19:10.950",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:19:10.950",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:18:54.965",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:18:54.949",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:18:54.948",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 15:18:53.489",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:18:48.484",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.453",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.370",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.370",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.369",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.321",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.320",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.319",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.095",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:48.034",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.974",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.892",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.764",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.703",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.645",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.582",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.520",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.459",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.397",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.335",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.273",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.246",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.150",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.089",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:47.029",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:46.959",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 15:18:42.925",ubuntu-target,Wazuh agent started.,3,503
"May 15, 2026 @ 22:33:16.205",ubuntu-target,PAM: Login session closed.,3,5502
"May 15, 2026 @ 22:33:06.089",ubuntu-target,PAM: Login session closed.,3,5502
"May 15, 2026 @ 22:00:21.466",ubuntu-target,Dpkg (Debian Package) half configured.,7,2904
"May 15, 2026 @ 22:00:21.464",ubuntu-target,Dpkg (Debian Package) removed.,7,2903
"May 15, 2026 @ 22:00:21.462",ubuntu-target,New dpkg (Debian Package) installed.,7,2902
"May 15, 2026 @ 22:00:21.450",ubuntu-target,Dpkg (Debian Package) half configured.,7,2904
"May 15, 2026 @ 22:00:21.448",ubuntu-target,Dpkg (Debian Package) removed.,7,2903
"May 15, 2026 @ 22:00:21.446",ubuntu-target,New dpkg (Debian Package) installed.,7,2902
